               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.11172,            0.016325,            0.080201,                   0,                   0,                   0,                   0,            0.098113,            0.010992,            0.056142,               2e-05,               2e-05,             0.09982
                   1,             0.11149,            0.017726,            0.081523,                   0,                   0,                   0,                   0,            0.096355,             0.01118,            0.055637,               5e-05,               5e-05,             0.09955
                   2,             0.10903,            0.021302,            0.078941,                   0,                   0,                   0,                   0,            0.094762,            0.011417,            0.055105,          7.9997e-05,          7.9997e-05,             0.09928
                   3,             0.10563,            0.019389,            0.078954,                   0,                   0,                   0,                   0,            0.092389,            0.011787,            0.054565,          0.00010999,          0.00010999,             0.09901
                   4,             0.10328,              0.0191,            0.078678,                   0,                   0,                   0,                   0,            0.088173,            0.012354,            0.054015,          0.00013998,          0.00013998,             0.09874
                   5,             0.10348,            0.020393,            0.074496,            0.008907,               0.025,            0.001012,           0.0001012,            0.083414,            0.012979,            0.053556,          0.00016996,          0.00016996,             0.09847
                   6,            0.097908,            0.019086,            0.075325,            0.023274,               0.025,           0.0039902,          0.00051984,            0.079468,            0.013557,            0.053181,          0.00019994,          0.00019994,              0.0982
                   7,            0.093711,            0.020213,            0.072967,           0.0071101,                0.15,           0.0042817,          0.00055092,            0.076383,            0.014022,            0.052379,           0.0002299,           0.0002299,             0.09793
                   8,            0.091593,            0.022569,             0.07078,            0.008515,                0.25,            0.005872,          0.00094266,            0.076032,            0.014077,            0.051427,          0.00025985,          0.00025985,             0.09766
                   9,            0.087005,            0.020385,            0.070195,            0.009195,                 0.3,           0.0065643,           0.0015749,            0.074734,            0.014174,            0.050278,          0.00028979,          0.00028979,             0.09739
                  10,            0.087654,            0.025049,            0.068037,           0.0097513,               0.375,           0.0081786,           0.0025112,            0.073246,            0.014219,            0.049149,          0.00031972,          0.00031972,             0.09712
                  11,            0.084472,            0.021881,            0.065466,             0.01451,                0.65,            0.014689,           0.0042154,            0.069018,            0.014671,             0.04816,          0.00034962,          0.00034962,             0.09685
                  12,            0.082065,            0.024497,            0.066114,             0.02572,                 0.5,            0.022407,           0.0061461,            0.065968,            0.014952,            0.047442,          0.00037951,          0.00037951,             0.09658
                  13,            0.078693,            0.024306,            0.063547,            0.026426,               0.625,            0.029893,           0.0062006,            0.061248,            0.015738,            0.045972,          0.00040938,          0.00040938,            0.096309
